lat_grid,lon_grid_abs,time_windows,avg_crimes
41.82,87.73,88,1.0454545454545454
41.98,87.83,137,1.0656934306569343
41.88,87.61,31,1.0
41.99,87.91,6,1.0
41.97,87.86,22,1.0
41.64,87.62,13,1.1538461538461537
42.0,87.94,11,1.0
41.76,87.54,16,1.0
41.96,87.83,1,1.0
41.69,87.56,7,1.0
41.65,87.57,1,1.0
41.99,87.9,4,1.0
41.95,87.85,1,1.0
41.96,87.9,4,1.0
41.75,87.63,1768,2.815610859728507
41.83,87.72,442,1.1787330316742082
41.81,87.66,1555,2.089389067524116
41.83,87.68,1278,1.6721439749608764
41.79,87.64,1157,1.6188418323249785
41.9,87.67,1846,3.6841820151679308
41.7,87.67,675,1.285925925925926
41.83,87.63,1403,1.865288667141839
41.9,87.73,1911,3.927786499215071
41.91,87.69,1761,2.9409426462237365
41.99,87.67,1501,2.0093271152564958
41.75,87.59,1558,2.0937098844672657
41.73,87.55,1804,3.159090909090909
41.95,87.74,1180,1.805084745762712
41.86,87.64,1293,1.751740139211137
41.69,87.64,1457,2.013040494166095
41.84,87.68,204,1.0490196078431373
42.0,87.7,1510,2.1456953642384105
41.74,87.59,1449,1.8854382332643203
41.77,87.63,1839,3.0679717237629145
41.87,87.76,1511,1.955658504301787
41.7,87.6,1057,1.7786187322611164
41.74,87.54,761,1.2562417871222076
41.82,87.69,1555,2.167202572347267
41.71,87.68,741,1.3049932523616734
41.79,87.73,1211,1.6465730800990916
41.89,87.69,974,1.4363449691991785
41.84,87.66,1056,1.490530303030303
41.74,87.72,1025,1.4946341463414634
41.91,87.71,1723,2.739408009286129
41.76,87.69,1416,1.884180790960452
41.99,87.8,485,1.1608247422680413
42.01,87.81,399,1.1303258145363408
41.98,87.69,1633,2.2198407838334355
41.81,87.69,1489,2.023505708529214
41.93,87.7,1589,2.300818124606671
41.76,87.63,1897,3.6779124934106484
41.66,87.65,222,1.0945945945945945
41.78,87.72,1325,1.7343396226415095
41.79,87.58,1048,1.6259541984732824
41.78,87.69,1888,3.4936440677966103
42.0,87.67,1682,2.546373365041617
41.93,87.63,305,1.219672131147541
41.76,87.73,292,1.0856164383561644
41.99,87.78,835,1.3712574850299402
41.99,87.74,432,1.1643518518518519
41.75,87.67,1853,3.2083108472746895
41.93,87.72,1496,2.070855614973262
41.88,87.76,1960,5.4459183673469385
41.73,87.67,823,1.382746051032807
41.9,87.78,309,1.0970873786407767
41.88,87.64,1805,3.8742382271468143
41.77,87.57,1964,4.967922606924644
41.99,87.73,614,1.275244299674267
41.96,87.78,992,1.4193548387096775
41.92,87.66,1065,1.5417840375586855
41.75,87.71,1157,1.616248919619706
41.74,87.55,1770,2.857627118644068
41.93,87.77,1391,1.884255930984903
41.75,87.7,1140,1.5973684210526315
41.75,87.69,952,1.4075630252100841
41.91,87.79,711,1.2728551336146272
41.7,87.57,441,1.1678004535147393
41.8,87.62,1874,3.362860192102455
41.73,87.63,1286,1.6912908242612752
41.67,87.62,1405,1.8291814946619218
41.78,87.73,1217,1.686113393590797
41.94,87.73,1585,2.27192429022082
41.85,87.64,1226,1.7487765089722676
41.81,87.73,1066,1.5356472795497185
41.98,87.91,1494,2.0809906291834004
41.76,87.72,734,1.3010899182561309
41.95,87.69,1034,1.5986460348162477
42.0,87.66,1753,2.8984597832287506
41.72,87.6,1082,1.5508317929759705
41.96,87.84,283,1.0918727915194346
41.97,87.7,1243,1.6950925181013676
41.67,87.56,221,1.1176470588235294
41.69,87.69,339,1.135693215339233
41.68,87.61,256,1.06640625
41.77,87.56,341,1.1260997067448681
41.88,87.67,1748,2.694508009153318
41.76,87.56,1981,5.429076224129227
41.81,87.63,1214,1.6375617792421746
41.68,87.68,674,1.3189910979228487
41.84,87.69,480,1.1895833333333334
41.79,87.72,1368,1.7690058479532165
41.92,87.8,1013,1.4738400789733466
41.68,87.72,367,1.11716621253406
41.87,87.65,968,1.4917355371900827
41.7,87.61,1556,2.0340616966580978
41.93,87.79,1340,2.0261194029850746
41.75,87.74,1246,2.3274478330658104
41.9,87.72,1964,5.895112016293279
42.01,87.66,1593,2.2554927809165095
41.95,87.82,467,1.2012847965738758
41.85,87.65,997,1.4774322968906721
41.69,87.66,1375,1.802909090909091
41.79,87.74,1587,2.130434782608696
41.91,87.73,1850,3.424324324324324
41.83,87.62,1820,3.5335164835164834
41.91,87.78,1061,1.4835061262959472
41.75,87.72,1039,1.525505293551492
41.93,87.74,1525,2.1495081967213117
41.68,87.53,111,1.027027027027027
41.69,87.7,713,1.297335203366059
41.97,87.8,363,1.165289256198347
41.8,87.63,1222,1.7004909983633387
41.97,87.73,1511,1.9814692256783586
41.68,87.63,1754,2.6482326111744583
41.79,87.65,1795,3.231197771587744
41.96,87.65,1836,3.8507625272331154
41.8,87.6,1626,2.59840098400984
41.82,87.72,508,1.2933070866141732
41.93,87.81,430,1.1674418604651162
41.75,87.57,1819,2.9983507421660254
41.95,87.71,1663,2.567648827420325
41.81,87.7,1499,2.064709806537692
41.74,87.65,1836,3.201525054466231
41.85,87.67,1300,1.77
41.83,87.7,533,1.1782363977485928
42.01,87.71,431,1.1508120649651972
41.94,87.67,1520,2.282236842105263
41.89,87.64,1858,3.480086114101184
41.79,87.77,852,1.3814553990610328
41.94,87.71,1433,1.9909281228192603
41.76,87.58,1853,3.5250944414463032
41.77,87.69,1815,3.0727272727272728
41.8,87.78,404,1.108910891089109
41.92,87.75,1702,2.6104582843713278
41.68,87.62,1717,2.6400698893418753
41.74,87.62,1523,2.099146421536441
41.79,87.59,1112,1.5548561151079137
41.91,87.72,1645,2.272340425531915
41.98,87.9,1270,1.8047244094488188
41.71,87.67,712,1.279494382022472
41.94,87.79,1139,1.6154521510096576
41.7,87.64,1337,1.8115183246073299
41.86,87.71,1947,5.361581920903955
41.93,87.78,1196,1.6145484949832776
41.94,87.76,1522,1.9513797634691197
41.66,87.56,313,1.1182108626198084
41.79,87.78,743,1.3647375504710633
